id,class
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,1
117,0
118,1
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,1
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,1
210,1
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,1
245,1
246,1
247,0
248,0
249,0
250,0
251,1
252,1
253,1
254,0
255,1
256,1
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,0
299,1
300,1
301,1
302,0
303,1
304,1
305,0
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,0
314,0
315,1
316,1
317,0
318,0
319,1
320,0
321,0
322,0
323,1
324,0
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,0
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,1
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,1
385,0
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,1
424,1
425,0
426,1
427,0
428,1
429,0
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,0
470,0
471,0
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,0
497,0
498,1
499,1
500,0
501,1
502,1
503,0
504,1
505,0
506,1
507,0
508,1
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,1
529,1
530,1
531,0
532,1
533,0
534,1
535,0
536,0
537,0
538,1
539,1
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,1
560,0
561,1
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,1
578,0
579,1
580,1
581,0
582,0
583,0
584,0
585,0
586,0
587,1
588,0
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,0
598,0
599,1
600,0
601,0
602,0
603,1
604,1
605,0
606,0
607,0
608,0
609,0
610,0
611,1
612,1
613,0
614,1
615,0
616,1
617,0
618,1
619,0
620,1
621,0
622,0
623,1
624,1
625,1
626,0
627,0
628,1
629,1
630,0
631,0
632,1
633,1
634,0
635,1
636,1
637,0
638,1
639,1
640,0
641,0
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,0
650,1
651,1
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,0
673,1
674,1
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,1
683,0
684,0
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,1
698,0
699,1
700,0
701,1
702,1
703,1
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,1
714,0
715,0
716,1
717,0
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,0
726,1
727,0
728,1
729,1
730,1
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,1
745,1
746,0
747,0
748,0
749,0
750,0
751,1
752,1
753,1
754,1
755,0
756,1
757,1
758,0
759,1
760,1
761,0
762,0
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,1
780,0
781,0
782,1
783,0
784,1
785,0
786,0
787,1
788,0
789,0
790,0
791,0
792,1
793,1
794,1
795,0
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,1
807,1
808,1
809,0
810,1
811,0
812,0
813,0
814,1
815,0
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,0
824,1
825,1
826,0
827,0
828,1
829,1
830,0
831,0
832,1
833,0
834,0
835,1
836,0
837,0
838,1
839,0
840,1
841,0
842,0
843,1
844,1
845,1
846,0
847,1
848,1
849,0
850,0
851,1
852,1
853,1
854,1
855,0
856,0
857,0
858,1
859,0
860,1
861,1
862,0
863,1
864,0
865,1
866,0
867,0
868,0
869,0
870,1
871,1
872,0
873,1
874,0
875,0
876,1
877,0
878,0
879,0
880,0
881,0
882,1
883,1
884,1
885,1
886,1
887,0
888,1
889,1
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,0
900,1
901,0
902,1
903,0
904,1
905,0
906,0
907,0
908,0
909,0
910,1
911,1
912,0
913,1
914,1
915,1
916,0
917,0
918,1
919,0
920,1
921,0
922,1
923,1
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,0
932,0
933,1
934,1
935,1
936,0
937,0
938,1
939,0
940,0
941,1
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,0
950,0
951,1
952,1
953,0
954,0
955,0
956,0
957,1
958,0
959,1
960,0
961,0
962,0
963,0
964,1
965,0
966,0
967,1
968,0
969,0
970,1
971,1
972,0
973,0
974,0
975,0
976,1
977,1
978,1
979,1
980,0
981,0
982,1
983,1
984,0
985,0
986,0
987,0
988,0
989,1
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,1
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,0
1019,1
1020,1
1021,1
1022,0
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,0
1039,0
1040,1
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,1
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,1
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,0
1111,0
1112,0
1113,1
1114,1
1115,0
1116,1
1117,0
1118,0
1119,0
1120,1
1121,1
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,0
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,1
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,1
1147,0
1148,1
1149,0
1150,0
1151,0
1152,1
1153,0
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,0
1164,0
1165,1
1166,1
1167,0
1168,1
1169,0
1170,0
1171,1
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,1
1188,0
1189,0
1190,0
1191,0
1192,1
1193,1
1194,0
1195,1
1196,0
1197,1
1198,0
1199,1
1200,0
1201,1
1202,1
1203,0
1204,1
1205,1
1206,0
1207,0
1208,1
1209,0
1210,1
1211,1
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,1
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,0
